廠商名稱,SVG_ID,line_id
AZ,svg_658,svg_803
AZ,svg_659,svg_803
FMC,svg_661,svg_797
FMC,svg_662,svg_797
FMC,svg_663,svg_797
中化,svg_665,svg_787
中化,svg_666,svg_787
益富,svg_668,svg_788
益富,svg_669,svg_788
亞培,svg_671,svg_789
亞培,svg_672,svg_789
偉喬,svg_674,svg_791
偉喬,svg_675,svg_791
偉喬,svg_677,svg_792
偉喬,svg_678,svg_792
台田,svg_680,svg_793
台田,svg_681,svg_793
台田,svg_683,svg_794
台田,svg_684,svg_794
Everest,svg_686,svg_796
Everest,svg_687,svg_796
Everest,svg_688,svg_796
Everest,svg_689,svg_796
Everest,svg_690,svg_796
Everest,svg_691,svg_796
Everest,svg_692,svg_796
泰和碩,svg_694,svg_790
泰和碩,svg_695,svg_790
泰和碩,svg_696,svg_790
萬益特,svg_698,svg_858
萬益特,svg_699,svg_858
萬益特,svg_700,svg_858
萬益特,svg_702,svg_859
萬益特,svg_703,svg_859
萬益特,svg_704,svg_859
諾華,svg_706,svg_857
諾華,svg_707,svg_857
Vera Therapeutics,svg_709,svg_834
Vera Therapeutics,svg_710,svg_834
Vera Therapeutics,svg_711,svg_834
Vera Therapeutics,svg_712,svg_834
Vera Therapeutics,svg_713,svg_834
Vera Therapeutics,svg_714,svg_834
Vera Therapeutics,svg_715,svg_834
Vera Therapeutics,svg_716,svg_834
Vera Therapeutics,svg_717,svg_834
Vera Therapeutics,svg_718,svg_834
Vera Therapeutics,svg_719,svg_834
Vera Therapeutics,svg_720,svg_834
Vera Therapeutics,svg_721,svg_834
Vera Therapeutics,svg_722,svg_834
Vera Therapeutics,svg_723,svg_834
Vera Therapeutics,svg_724,svg_834
百靈佳,svg_726,svg_856
百靈佳,svg_727,svg_856
百靈佳,svg_728,svg_856
幸昌生技,svg_730,svg_849
幸昌生技,svg_731,svg_849
幸昌生技,svg_732,svg_849
幸昌生技,svg_733,svg_849
幸昌生技,svg_735,svg_837
幸昌生技,svg_736,svg_837
幸昌生技,svg_737,svg_837
幸昌生技,svg_738,svg_837
幸昌醫藥,svg_740,svg_839
幸昌醫藥,svg_741,svg_839
幸昌醫藥,svg_742,svg_839
幸昌醫藥,svg_743,svg_839
大昌華嘉,svg_745,svg_844
大昌華嘉,svg_746,svg_844
大昌華嘉,svg_747,svg_844
大昌華嘉,svg_748,svg_844
寶齡富錦,svg_750,svg_835
寶齡富錦,svg_751,svg_835
寶齡富錦,svg_752,svg_835
寶齡富錦,svg_753,svg_835
吉泰,svg_755,svg_836
吉泰,svg_756,svg_836
一成,svg_758,svg_848
一成,svg_759,svg_848
新穎,svg_761,svg_838
新穎,svg_762,svg_838
新漢,svg_764,svg_841
新漢,svg_765,svg_841
米飛,svg_767,svg_845
米飛,svg_768,svg_845
拜耳,svg_770,svg_846
拜耳,svg_771,svg_846
華江,svg_773,svg_847
華江,svg_774,svg_847
賽諾菲,svg_776,svg_840
賽諾菲,svg_777,svg_840
賽諾菲,svg_778,svg_840
英禾美,svg_780,svg_842
英禾美,svg_781,svg_842
英禾美,svg_782,svg_842
英禾美,svg_784,svg_843
英禾美,svg_785,svg_843
英禾美,svg_786,svg_843
FMC,svg_799,svg_802
FMC,svg_800,svg_802
FMC,svg_801,svg_802
大塚,svg_805,svg_795
大塚,svg_806,svg_795
大塚,svg_813,svg_807
大塚,svg_814,svg_807
佳醫,svg_816,svg_810
佳醫,svg_817,svg_810
諾和諾德,svg_819,svg_811
諾和諾德,svg_820,svg_811
諾和諾德,svg_821,svg_811
諾和諾德,svg_822,svg_811
GSK,svg_824,svg_809
GSK,svg_825,svg_809
GSK,svg_826,svg_809
費森尤斯卡比,svg_828,svg_808
費森尤斯卡比,svg_829,svg_808
費森尤斯卡比,svg_830,svg_808
費森尤斯卡比,svg_831,svg_808
費森尤斯卡比,svg_832,svg_808
費森尤斯卡比,svg_833,svg_808
幸昌生技,svg_851,svg_855
幸昌生技,svg_852,svg_855
幸昌生技,svg_853,svg_855
幸昌生技,svg_854,svg_855
1,svg_32,
2,svg_35,
3,svg_123,
4,svg_105,
5,svg_102,
6,svg_131,
7,svg_38,
8,svg_56,
9,svg_69,
10,svg_87,
11,svg_92,
12,svg_59,
13,svg_64,
14,svg_113,
15,svg_72,
16,svg_108,
17,svg_97,
18,svg_77,
19,svg_82,
20,svg_118,
21,svg_126,
